Age	Conference	Date	Draft Year	Player	Position	Season	Team
24	NOVALUES	12-Apr-87	1984	MichaelJordan	SG	1986-1987	ChicagoBulls
26	NOVALUES	9-Mar-86	1979	MagicJohnson	PG	1985-1986	LosAngelesLakers
27	NOVALUES	5-Apr-87	1979	MagicJohnson	PG	1986-1987	LosAngelesLakers
29	NOVALUES	29-Mar-87	1980	LarrySmith	PF	1986-1987	GoldenStateWarriors
27	NOVALUES	22-Mar-87	1979	MagicJohnson	PG	1986-1987	LosAngelesLakers
23	NOVALUES	15-Mar-87	1985	KarlMalone	PF	1986-1987	UtahJazz
27	NOVALUES	8-Mar-87	1979	MagicJohnson	PG	1986-1987	LosAngelesLakers
24	NOVALUES	1-Mar-87	1984	MichaelJordan	SG	1986-1987	ChicagoBulls
31	NOVALUES	22-Feb-87	1976	MosesMalone	C	1986-1987	WashingtonBullets
27	NOVALUES	15-Feb-87	1979	MagicJohnson	PG	1986-1987	LosAngelesLakers
26	NOVALUES	1-Feb-87	1982	FatLever	PG	1986-1987	DenverNuggets
33	NOVALUES	25-Jan-87	1976	AlexEnglish	SF	1986-1987	DenverNuggets
26	NOVALUES	9-Mar-86	1979	MagicJohnson	PG	1985-1986	LosAngelesLakers
24	NOVALUES	18-Jan-87	1984	OtisThorpe	PF	1986-1987	SacramentoKings
25	NOVALUES	11-Jan-87	1981	IsiahThomas	PG	1986-1987	DetroitPistons
30	NOVALUES	4-Jan-87	1978	LarryBird	SF	1986-1987	BostonCeltics
24	NOVALUES	28-Dec-86	1985	PatrickEwing	C	1986-1987	NewYorkKnicks
27	NOVALUES	21-Dec-86	1979	MagicJohnson	PG	1986-1987	LosAngelesLakers
27	NOVALUES	14-Dec-86	1982	DominiqueWilkins	SF	1986-1987	AtlantaHawks
27	NOVALUES	7-Dec-86	1981	TomChambers	PF	1986-1987	SeattleSuperSonics
24	NOVALUES	30-Nov-86	1985	HotRodWilliams	FC	1986-1987	ClevelandCavaliers
24	NOVALUES	23-Nov-86	1984	AlvinRobertson	SG	1986-1987	SanAntonioSpurs
33	NOVALUES	16-Nov-86	1976	RobertParish	C	1986-1987	BostonCeltics
24	NOVALUES	9-Nov-86	1984	MichaelJordan	SG	1986-1987	ChicagoBulls
24	NOVALUES	24-Apr-88	1985	KarlMalone	PF	1987-1988	UtahJazz
27	NOVALUES	17-Apr-88	1982	FatLever	PG	1987-1988	DenverNuggets
24	NOVALUES	10-Apr-88	1986	HaroldPressley	GF	1987-1988	SacramentoKings
25	NOVALUES	3-Apr-88	1984	MichaelJordan	SG	1987-1988	ChicagoBulls
25	NOVALUES	27-Mar-88	1984	MichaelJordan	SG	1987-1988	ChicagoBulls
25	NOVALUES	20-Mar-88	1984	CharlesBarkley	PF	1987-1988	PhiladelphiaSixers
25	NOVALUES	13-Mar-88	1983	ClydeDrexler	SG	1987-1988	PortlandTrailBlazers
27	NOVALUES	6-Mar-88	1983	BobbyHansen	SG	1987-1988	UtahJazz
23	NOVALUES	28-Feb-88	1986	RoyTarpley	PF	1987-1988	DallasMavericks
25	NOVALUES	21-Feb-88	1984	JohnStockton	PG	1987-1988	UtahJazz
28	NOVALUES	14-Feb-88	1982	DominiqueWilkins	SF	1987-1988	AtlantaHawks
31	NOVALUES	31-Jan-88	1977	BernardKing	SF	1987-1988	WashingtonBullets
25	NOVALUES	24-Jan-88	1984	MichaelJordan	SG	1987-1988	ChicagoBulls
28	NOVALUES	17-Jan-88	1982	DominiqueWilkins	SF	1987-1988	AtlantaHawks
26	NOVALUES	10-Jan-88	1983	ByronScott	SG	1987-1988	LosAngelesLakers
24	NOVALUES	3-Jan-88	1985	KarlMalone	PF	1987-1988	UtahJazz
28	NOVALUES	27-Dec-87	1982	DominiqueWilkins	SF	1987-1988	AtlantaHawks
29	NOVALUES	20-Dec-87	1981	LarryNance	PF	1987-1988	PhoenixSuns
28	NOVALUES	13-Dec-87	1979	MagicJohnson	PG	1987-1988	LosAngelesLakers
25	NOVALUES	6-Dec-87	1983	ClydeDrexler	SG	1987-1988	PortlandTrailBlazers
25	NOVALUES	29-Nov-87	1983	ClydeDrexler	SG	1987-1988	PortlandTrailBlazers
24	NOVALUES	22-Nov-87	1985	XavierMcDaniel	PF	1987-1988	SeattleSuperSonics
31	NOVALUES	15-Nov-87	1978	LarryBird	SF	1987-1988	BostonCeltics
25	NOVALUES	23-Apr-89	1985	XavierMcDaniel	PF	1988-1989	SeattleSuperSonics
25	NOVALUES	16-Apr-89	1985	KarlMalone	PF	1988-1989	UtahJazz
26	NOVALUES	9-Apr-89	1983	ClydeDrexler	SG	1988-1989	PortlandTrailBlazers
26	NOVALUES	2-Apr-89	1984	MichaelJordan	SG	1988-1989	ChicagoBulls
26	NOVALUES	26-Mar-89	1984	MichaelJordan	SG	1988-1989	ChicagoBulls
22	NOVALUES	19-Mar-89	1987	KevinJohnson	PG	1988-1989	PhoenixSuns
27	NOVALUES	12-Mar-89	1981	IsiahThomas	PG	1988-1989	DetroitPistons
